order_item_id,order_id,product_id,quantity,unit_price,discount_pct,replacement_cost
1,1,41,1,134050.77,0.0071,87320.48
2,1,5,1,193101.56,0.0226,112581.22
3,1,34,2,29576.45,0.0183,21207.51
4,2,29,1,102239.91,0.023,78390.98
5,2,34,1,29576.45,0.0154,21207.51
6,2,35,3,105924.32,0.0086,76373.38
7,3,34,1,29576.45,0.0014,21207.51
8,3,1,1,303474.01,0.0298,230232.02
9,3,21,1,1187423.28,0.0262,881791.8
10,4,29,1,102239.91,0.019,78390.98
11,4,20,1,575877.6,0.0379,442151.16
12,5,35,1,105924.32,0.0146,76373.38
13,6,19,2,1354046.38,0.037,1110487.85
14,6,35,3,105924.32,0.0115,76373.38
15,7,2,2,389998.01,0.0367,241268.15
16,7,35,1,105924.32,0.0178,76373.38
17,8,5,1,193101.56,0.0192,112581.22
18,8,29,3,102239.91,0.0321,78390.98
19,8,20,1,575877.6,0.013,442151.16
20,9,34,3,29576.45,0.04,21207.51
21,10,5,1,193101.56,0.0004,112581.22
22,10,35,2,105924.32,0.0156,76373.38
23,10,29,2,102239.91,0.0243,78390.98
24,11,45,3,123594.09,0.0009,91072.42
25,11,34,2,29576.45,0.0164,21207.51
26,12,34,2,29576.45,0.0004,21207.51
27,12,36,1,94176.05,0.0076,79768.64
28,13,9,2,185395.24,0.0096,117809.8
29,14,34,1,29576.45,0.0232,21207.51
30,14,21,2,1187423.28,0.0132,881791.8
31,15,34,2,29576.45,0.0038,21207.51
32,15,1,2,303474.01,0.0129,230232.02
33,16,21,1,1187423.28,0.0091,881791.8
34,17,34,1,29576.45,0.0039,21207.51
35,17,27,1,175446.16,0.0236,143447.23
36,17,11,2,597554.26,0.0104,505348.73
37,18,27,4,175446.16,0.02,143447.23
38,18,36,2,94176.05,0.021,79768.64
39,18,5,1,193101.56,0.013,112581.22
40,19,21,4,1187423.28,0.0092,881791.8
41,20,45,1,123594.09,0.0261,91072.42
42,20,43,1,129758.67,0.0314,81108.95
43,21,1,3,303474.01,0.0336,230232.02
44,22,29,1,102239.91,0.0083,78390.98
45,22,1,3,303474.01,0.0049,230232.02
46,23,44,1,80989.05,0.011,57232.77
47,24,21,1,1187423.28,0.0149,881791.8
48,25,21,1,1187423.28,0.0155,881791.8
49,26,12,1,918711.15,0.0248,570787.21
50,26,29,1,102239.91,0.0162,78390.98
51,27,2,1,389998.01,0.0339,241268.15
52,28,35,2,105924.32,0.0379,76373.38
53,29,27,1,175446.16,0.0107,143447.23
54,29,29,3,102239.91,0.0273,78390.98
55,30,36,1,94176.05,0.0338,79768.64
56,30,5,2,193101.56,0.0113,112581.22
57,31,5,1,193101.56,0.0003,112581.22
58,31,21,2,1187423.28,0.0049,881791.8
59,32,35,1,105924.32,0.0137,76373.38
60,32,1,1,303474.01,0.0399,230232.02
61,33,35,1,105924.32,0.0245,76373.38
62,34,27,1,175446.16,0.002,143447.23
63,35,29,1,102239.91,0.0171,78390.98
64,36,29,2,102239.91,0.0052,78390.98
65,37,1,1,303474.01,0.0011,230232.02
66,37,12,4,918711.15,0.0123,570787.21
67,37,34,1,29576.45,0.0114,21207.51
68,38,21,1,1187423.28,0.0053,881791.8
69,38,29,1,102239.91,0.029,78390.98
70,39,44,1,80989.05,0.02,57232.77
71,40,1,1,303474.01,0.0111,230232.02
72,40,21,2,1187423.28,0.0059,881791.8
73,40,5,2,193101.56,0.0382,112581.22
74,41,45,1,123594.09,0.0128,91072.42
75,41,19,1,1354046.38,0.038,1110487.85
76,41,36,4,94176.05,0.0094,79768.64
77,42,1,2,303474.01,0.0093,230232.02
78,42,45,1,123594.09,0.0004,91072.42
79,43,35,3,105924.32,0.0361,76373.38
80,44,9,1,185395.24,0.0163,117809.8
81,45,31,2,368499.82,0.0206,243595.93
82,45,35,1,105924.32,0.0038,76373.38
83,45,20,1,575877.6,0.0397,442151.16
84,46,20,1,575877.6,0.0118,442151.16
85,47,34,1,29576.45,0.0231,21207.51
86,47,2,3,389998.01,0.0156,241268.15
87,48,2,1,389998.01,0.0316,241268.15
88,48,11,1,597554.26,0.0327,505348.73
89,49,34,1,29576.45,0.0062,21207.51
90,50,21,1,1187423.28,0.0044,881791.8
91,50,27,1,175446.16,0.0124,143447.23
92,50,5,1,193101.56,0.0205,112581.22
93,50,34,1,29576.45,0.0208,21207.51
94,51,2,1,389998.01,0.0239,241268.15
95,52,34,1,29576.45,0.0121,21207.51
96,53,21,2,1187423.28,0.0235,881791.8
97,54,34,1,29576.45,0.0114,21207.51
98,54,21,1,1187423.28,0.0216,881791.8
99,55,35,1,105924.32,0.0314,76373.38
100,55,1,1,303474.01,0.039,230232.02
101,56,36,2,94176.05,0.0147,79768.64
102,57,14,1,398520.48,0.015,241485.7
103,57,1,1,303474.01,0.0397,230232.02
104,57,29,4,102239.91,0.0076,78390.98
105,58,11,1,597554.26,0.0062,505348.73
106,58,26,1,128124.88,0.0396,79847.03
107,59,35,1,105924.32,0.0086,76373.38
108,59,29,1,102239.91,0.0204,78390.98
109,60,45,1,123594.09,0.0067,91072.42
110,61,27,1,175446.16,0.0356,143447.23
111,62,1,2,303474.01,0.014,230232.02
112,63,36,1,94176.05,0.0279,79768.64
113,63,9,2,185395.24,0.0115,117809.8
114,64,5,2,193101.56,0.0078,112581.22
115,65,1,1,303474.01,0.0248,230232.02
116,65,20,1,575877.6,0.0046,442151.16
117,66,20,1,575877.6,0.0087,442151.16
118,66,19,1,1354046.38,0.0197,1110487.85
119,67,29,4,102239.91,0.0266,78390.98
120,68,35,2,105924.32,0.0129,76373.38
121,69,44,1,80989.05,0.0293,57232.77
122,69,1,2,303474.01,0.0221,230232.02
123,70,2,1,389998.01,0.0153,241268.15
124,71,29,1,102239.91,0.0274,78390.98
125,72,2,1,389998.01,0.0093,241268.15
126,72,21,2,1187423.28,0.0356,881791.8
127,72,34,1,29576.45,0.0011,21207.51
128,73,35,2,105924.32,0.0007,76373.38
129,73,9,1,185395.24,0.0235,117809.8
130,74,34,2,29576.45,0.0171,21207.51
131,75,34,1,29576.45,0.0099,21207.51
132,75,36,2,94176.05,0.0295,79768.64
133,76,20,1,575877.6,0.0026,442151.16
134,76,34,4,29576.45,0.025,21207.51
135,76,11,3,597554.26,0.0042,505348.73
136,76,29,1,102239.91,0.0054,78390.98
137,77,34,3,29576.45,0.0201,21207.51
138,77,12,1,918711.15,0.0051,570787.21
139,77,21,1,1187423.28,0.0203,881791.8
140,78,21,1,1187423.28,0.0161,881791.8
141,78,34,1,29576.45,0.0244,21207.51
142,79,1,3,303474.01,0.0257,230232.02
143,80,27,1,175446.16,0.0362,143447.23
144,81,5,1,193101.56,0.0377,112581.22
145,82,34,1,29576.45,0.0081,21207.51
146,82,21,2,1187423.28,0.0082,881791.8
147,83,29,1,102239.91,0.0063,78390.98
148,84,19,2,1354046.38,0.0255,1110487.85
149,84,34,4,29576.45,0.0092,21207.51
150,84,2,1,389998.01,0.024,241268.15
151,84,29,1,102239.91,0.0191,78390.98
152,85,34,1,29576.45,0.0115,21207.51
153,86,41,1,134050.77,0.0133,87320.48
154,87,12,1,918711.15,0.0392,570787.21
155,88,29,1,102239.91,0.0392,78390.98
156,88,1,4,303474.01,0.0142,230232.02
157,88,43,1,129758.67,0.0384,81108.95
158,88,34,2,29576.45,0.0085,21207.51
159,89,29,1,102239.91,0.0136,78390.98
160,89,34,1,29576.45,0.0098,21207.51
161,90,19,3,1354046.38,0.0118,1110487.85
162,91,34,1,29576.45,0.0222,21207.51
163,92,35,1,105924.32,0.004,76373.38
164,92,1,1,303474.01,0.0225,230232.02
165,92,45,1,123594.09,0.0121,91072.42
166,92,41,1,134050.77,0.0126,87320.48
167,93,45,1,123594.09,0.0094,91072.42
168,93,36,2,94176.05,0.0334,79768.64
169,93,19,1,1354046.38,0.039,1110487.85
170,94,29,1,102239.91,0.0182,78390.98
171,94,2,1,389998.01,0.006,241268.15
172,95,35,1,105924.32,0.033,76373.38
173,96,2,1,389998.01,0.0187,241268.15
174,97,36,2,94176.05,0.0131,79768.64
175,97,11,1,597554.26,0.0156,505348.73
176,98,2,1,389998.01,0.0103,241268.15
177,98,1,1,303474.01,0.0356,230232.02
178,99,34,4,29576.45,0.0041,21207.51
179,99,5,1,193101.56,0.0168,112581.22
180,100,5,2,193101.56,0.0337,112581.22
181,100,21,2,1187423.28,0.0257,881791.8
182,101,44,1,80989.05,0.0333,57232.77
183,101,27,3,175446.16,0.0197,143447.23
184,101,11,2,597554.26,0.0151,505348.73
185,101,5,1,193101.56,0.0235,112581.22
186,102,1,1,303474.01,0.0349,230232.02
187,103,21,1,1187423.28,0.0243,881791.8
188,104,2,1,389998.01,0.0162,241268.15
189,105,1,1,303474.01,0.0359,230232.02
190,106,2,1,389998.01,0.0389,241268.15
191,107,20,1,575877.6,0.0203,442151.16
192,107,35,2,105924.32,0.0279,76373.38
193,107,1,2,303474.01,0.0183,230232.02
194,108,34,1,29576.45,0.0259,21207.51
195,109,29,1,102239.91,0.0026,78390.98
196,109,36,4,94176.05,0.0061,79768.64
197,110,5,2,193101.56,0.0164,112581.22
198,111,35,1,105924.32,0.0228,76373.38
199,112,36,3,94176.05,0.0114,79768.64
200,112,45,2,123594.09,0.0045,91072.42
201,113,36,2,94176.05,0.009,79768.64
202,114,2,1,389998.01,0.0041,241268.15
203,114,44,1,80989.05,0.027,57232.77
204,115,36,3,94176.05,0.009,79768.64
205,116,5,1,193101.56,0.0068,112581.22
206,117,5,2,193101.56,0.0198,112581.22
207,118,44,4,80989.05,0.0148,57232.77
208,119,2,1,389998.01,0.0096,241268.15
209,120,34,1,29576.45,0.0206,21207.51
210,120,21,2,1187423.28,0.0311,881791.8
211,121,34,1,29576.45,0.0046,21207.51
212,121,1,1,303474.01,0.008,230232.02
213,122,34,1,29576.45,0.0131,21207.51
214,123,29,1,102239.91,0.0391,78390.98
215,123,41,2,134050.77,0.0023,87320.48
216,123,5,1,193101.56,0.0225,112581.22
217,124,2,1,389998.01,0.0193,241268.15
218,124,5,1,193101.56,0.0109,112581.22
219,125,1,1,303474.01,0.0025,230232.02
220,125,45,1,123594.09,0.0343,91072.42
221,125,2,1,389998.01,0.0312,241268.15
222,125,5,2,193101.56,0.0329,112581.22
223,126,34,1,29576.45,0.0059,21207.51
224,126,11,1,597554.26,0.0147,505348.73
225,127,9,1,185395.24,0.0241,117809.8
226,127,34,1,29576.45,0.0013,21207.51
227,128,21,1,1187423.28,0.0261,881791.8
228,128,35,1,105924.32,0.0393,76373.38
229,129,34,1,29576.45,0.0247,21207.51
230,129,19,1,1354046.38,0.0155,1110487.85
231,129,41,2,134050.77,0.0249,87320.48
232,130,20,1,575877.6,0.0321,442151.16
233,130,34,1,29576.45,0.0328,21207.51
234,131,21,1,1187423.28,0.0016,881791.8
235,131,29,1,102239.91,0.0356,78390.98
236,132,34,1,29576.45,0.0187,21207.51
237,132,1,2,303474.01,0.0186,230232.02
238,132,21,2,1187423.28,0.0123,881791.8
239,133,2,2,389998.01,0.0132,241268.15
240,133,34,2,29576.45,0.0195,21207.51
241,133,31,1,368499.82,0.0031,243595.93
242,134,20,3,575877.6,0.0323,442151.16
243,134,1,2,303474.01,0.0057,230232.02
244,135,44,1,80989.05,0.0342,57232.77
245,136,20,1,575877.6,0.0305,442151.16
246,136,14,1,398520.48,0.0013,241485.7
247,136,2,1,389998.01,0.0322,241268.15
248,136,29,1,102239.91,0.0359,78390.98
249,137,14,1,398520.48,0.0064,241485.7
250,138,36,1,94176.05,0.0319,79768.64
251,138,34,1,29576.45,0.0192,21207.51
252,138,1,2,303474.01,0.0169,230232.02
253,139,29,1,102239.91,0.0255,78390.98
254,139,11,2,597554.26,0.036,505348.73
255,139,1,1,303474.01,0.0242,230232.02
256,140,29,1,102239.91,0.0043,78390.98
257,141,9,2,185395.24,0.03,117809.8
258,142,36,2,94176.05,0.0032,79768.64
259,143,29,3,102239.91,0.0336,78390.98
260,143,9,1,185395.24,0.0298,117809.8
261,144,45,2,123594.09,0.0212,91072.42
262,145,29,1,102239.91,0.0236,78390.98
263,145,5,1,193101.56,0.0244,112581.22
264,145,45,2,123594.09,0.0367,91072.42
265,146,21,1,1187423.28,0.033,881791.8
266,146,11,1,597554.26,0.0249,505348.73
267,146,2,3,389998.01,0.004,241268.15
268,147,29,2,102239.91,0.0202,78390.98
269,147,41,1,134050.77,0.0162,87320.48
270,147,34,4,29576.45,0.0081,21207.51
271,148,1,1,303474.01,0.0087,230232.02
272,148,21,2,1187423.28,0.0121,881791.8
273,149,1,1,303474.01,0.0207,230232.02
274,149,19,1,1354046.38,0.0383,1110487.85
275,149,34,1,29576.45,0.0215,21207.51
276,149,14,1,398520.48,0.0166,241485.7
277,150,36,2,94176.05,0.0062,79768.64
278,150,27,1,175446.16,0.0316,143447.23
279,151,34,1,29576.45,0.0125,21207.51
280,152,41,1,134050.77,0.0151,87320.48
281,153,34,1,29576.45,0.0242,21207.51
282,153,41,4,134050.77,0.0386,87320.48
283,154,36,1,94176.05,0.0009,79768.64
284,154,29,2,102239.91,0.0022,78390.98
285,154,19,1,1354046.38,0.0218,1110487.85
286,155,19,2,1354046.38,0.0311,1110487.85
287,156,36,2,94176.05,0.0088,79768.64
288,156,1,2,303474.01,0.0142,230232.02
289,156,44,2,80989.05,0.0049,57232.77
290,157,19,4,1354046.38,0.0017,1110487.85
291,157,34,1,29576.45,0.0049,21207.51
292,158,20,1,575877.6,0.0323,442151.16
293,159,45,1,123594.09,0.0287,91072.42
294,159,1,1,303474.01,0.0141,230232.02
295,160,20,2,575877.6,0.0006,442151.16
296,160,36,1,94176.05,0.0085,79768.64
297,160,12,1,918711.15,0.0117,570787.21
298,161,14,2,398520.48,0.0077,241485.7
299,161,41,1,134050.77,0.0147,87320.48
300,162,36,2,94176.05,0.0357,79768.64
301,162,2,1,389998.01,0.0035,241268.15
302,163,29,1,102239.91,0.0065,78390.98
303,163,11,1,597554.26,0.0224,505348.73
304,164,11,4,597554.26,0.0162,505348.73
305,165,29,2,102239.91,0.0098,78390.98
306,166,2,1,389998.01,0.0181,241268.15
307,166,27,2,175446.16,0.0087,143447.23
308,167,11,2,597554.26,0.0133,505348.73
309,167,35,1,105924.32,0.0112,76373.38
310,167,27,1,175446.16,0.0223,143447.23
311,168,5,3,193101.56,0.0039,112581.22
312,169,44,1,80989.05,0.0103,57232.77
313,170,36,2,94176.05,0.0091,79768.64
314,170,14,3,398520.48,0.032,241485.7
315,170,45,2,123594.09,0.0339,91072.42
316,171,11,1,597554.26,0.015,505348.73
317,171,14,1,398520.48,0.0223,241485.7
318,172,21,1,1187423.28,0.0368,881791.8
319,172,5,1,193101.56,0.0278,112581.22
320,172,34,2,29576.45,0.0268,21207.51
321,173,29,1,102239.91,0.0057,78390.98
322,173,41,4,134050.77,0.0018,87320.48
323,174,11,1,597554.26,0.0144,505348.73
324,174,5,2,193101.56,0.0298,112581.22
325,175,21,1,1187423.28,0.0226,881791.8
326,175,2,3,389998.01,0.0398,241268.15
327,175,44,4,80989.05,0.0287,57232.77
328,176,34,1,29576.45,0.033,21207.51
329,177,35,2,105924.32,0.0112,76373.38
330,177,34,2,29576.45,0.0126,21207.51
331,177,11,1,597554.26,0.0153,505348.73
332,178,2,1,389998.01,0.0231,241268.15
333,178,21,1,1187423.28,0.0265,881791.8
334,178,35,1,105924.32,0.037,76373.38
335,179,20,1,575877.6,0.0307,442151.16
336,180,1,1,303474.01,0.0201,230232.02
337,181,34,1,29576.45,0.0117,21207.51
338,181,5,2,193101.56,0.0208,112581.22
339,182,29,1,102239.91,0.0256,78390.98
340,183,1,2,303474.01,0.0271,230232.02
341,184,27,3,175446.16,0.0157,143447.23
342,184,21,1,1187423.28,0.0265,881791.8
343,185,41,1,134050.77,0.0137,87320.48
344,185,34,1,29576.45,0.0116,21207.51
345,186,1,2,303474.01,0.0176,230232.02
346,186,35,1,105924.32,0.0146,76373.38
347,187,35,1,105924.32,0.0107,76373.38
348,188,34,1,29576.45,0.031,21207.51
349,189,44,3,80989.05,0.0331,57232.77
350,190,35,3,105924.32,0.0247,76373.38
351,190,11,1,597554.26,0.0052,505348.73
352,190,21,2,1187423.28,0.024,881791.8
353,190,29,1,102239.91,0.0277,78390.98
354,191,45,1,123594.09,0.0159,91072.42
355,192,34,3,29576.45,0.0336,21207.51
356,192,19,2,1354046.38,0.0006,1110487.85
357,193,44,1,80989.05,0.0355,57232.77
358,193,34,1,29576.45,0.0176,21207.51
359,193,14,2,398520.48,0.0256,241485.7
360,194,41,2,134050.77,0.022,87320.48
