order_id,customer_id,order_date,channel,status
1,24,2024-10-21,online,delivered
2,28,2024-11-27,online,delivered
3,13,2024-09-15,online,delivered
4,2,2024-12-11,online,delivered
5,1,2024-12-29,physical,delivered
6,5,2024-08-07,online,delivered
7,2,2024-12-28,physical,delivered
8,21,2024-10-21,physical,delivered
9,2,2024-11-19,physical,delivered
10,13,2024-09-22,online,delivered
11,22,2024-12-03,online,delivered
12,18,2024-11-04,physical,delivered
13,4,2024-11-09,online,delivered
14,25,2024-09-19,online,delivered
15,22,2024-11-20,online,delivered
16,23,2024-11-10,physical,delivered
17,2,2024-12-13,online,delivered
18,2,2024-10-19,physical,delivered
19,28,2024-10-28,online,delivered
20,11,2024-10-13,online,delivered
21,8,2024-06-17,physical,delivered
22,13,2024-10-26,online,delivered
23,21,2024-06-22,online,delivered
24,28,2024-08-22,physical,delivered
25,7,2024-10-13,online,delivered
26,28,2024-07-17,physical,delivered
27,1,2024-10-05,physical,delivered
28,17,2024-11-10,online,cancelled
29,21,2024-06-08,online,delivered
30,2,2024-12-06,physical,delivered
31,2,2024-10-21,physical,delivered
32,11,2024-10-24,online,delivered
33,28,2024-07-02,online,delivered
34,19,2024-09-30,online,delivered
35,28,2024-09-27,online,delivered
36,25,2024-12-29,online,delivered
37,12,2024-12-03,online,delivered
38,24,2024-07-10,online,delivered
39,1,2024-09-11,physical,delivered
40,2,2024-11-05,physical,delivered
41,27,2024-08-07,online,delivered
42,24,2024-12-18,physical,delivered
43,7,2024-05-19,online,delivered
44,15,2024-11-28,physical,delivered
45,20,2024-12-12,online,delivered
46,28,2024-07-15,physical,delivered
47,20,2024-11-20,online,delivered
48,11,2024-11-14,online,delivered
49,10,2024-12-26,physical,delivered
50,12,2024-08-19,online,delivered
51,21,2024-09-14,physical,delivered
52,28,2024-07-24,online,delivered
53,12,2024-08-30,online,delivered
54,7,2024-10-08,online,delivered
55,7,2024-03-28,online,delivered
56,23,2024-09-12,online,delivered
57,26,2024-09-29,online,delivered
58,2,2024-10-20,online,delivered
59,1,2024-09-16,online,delivered
60,19,2024-06-28,online,delivered
61,2,2024-12-29,online,delivered
62,26,2024-10-31,online,delivered
63,8,2024-11-15,online,delivered
64,2,2024-12-25,online,delivered
65,28,2024-12-09,physical,delivered
66,2,2024-12-08,online,delivered
67,7,2024-05-22,online,delivered
68,2,2024-11-25,online,delivered
