return_id,order_item_id,return_date,quantity,reason,refund_amount,status
1,1,2024-11-01,1,Other,133099.01,approved
2,62,2024-10-18,1,Damaged,175095.27,approved
3,66,2025-01-05,1,Defective,907411.0,approved
4,120,2024-12-04,2,Defective,209115.79,approved
5,145,2024-08-21,1,Damaged,29336.88,approved
6,171,2024-11-07,1,Damaged,387658.02,approved
7,276,2024-07-21,1,Defective,391905.04,approved
8,277,2024-11-22,1,Changed mind,93592.16,approved
9,278,2024-11-23,1,Defective,169902.06,approved
10,352,2025-01-26,1,Damaged,1158925.12,approved
11,404,2025-01-06,1,Defective,132093.63,approved
12,463,2024-12-05,1,Defective,29032.24,approved
13,466,2024-12-12,1,Changed mind,29469.97,approved
14,468,2024-09-13,1,Defective,100338.25,approved
15,496,2024-12-09,2,Defective,760730.12,approved
16,505,2024-11-17,1,Defective,102188.79,approved
17,520,2024-11-27,1,Wrong product,100164.44,approved
18,535,2025-01-07,1,Damaged,0.0,rejected
19,536,2024-09-12,1,Defective,0.0,rejected
20,568,2024-10-06,1,Changed mind,105828.99,approved
21,577,2024-04-17,1,Other,587395.84,approved
22,585,2024-07-21,1,Wrong product,102566.52,approved
23,591,2024-11-29,1,Other,377752.07,approved
24,592,2024-12-16,1,Damaged,1330756.78,approved
25,602,2024-05-27,1,Changed mind,118872.8,approved
26,628,2025-01-11,1,Changed mind,28443.67,approved
27,672,2024-05-16,3,Other,309606.19,approved
28,677,2024-12-19,1,Wrong product,28511.7,approved
29,750,2024-11-28,3,Defective,3973584.51,approved
30,762,2025-01-08,1,Wrong product,28698.03,approved
31,835,2024-11-30,1,Defective,1332517.04,approved
32,853,2024-09-13,2,Damaged,197977.36,approved
33,919,2024-11-23,3,Changed mind,86386.9,approved
34,957,2024-12-18,2,Defective,198590.8,approved
35,968,2024-12-25,1,Wrong product,171253.0,approved
36,1049,2024-09-04,1,Changed mind,170551.21,approved
37,1097,2024-11-24,1,Defective,121999.73,approved
38,1123,2024-06-05,1,Changed mind,294673.26,approved
39,1142,2024-06-07,1,Damaged,100634.74,approved
40,1144,2024-09-26,1,Defective,103043.18,approved
41,1159,2024-12-26,1,Defective,28428.88,approved
42,1199,2024-12-03,1,Defective,121839.05,approved
43,1216,2024-11-14,1,Changed mind,101803.86,approved
44,1268,2024-11-20,1,Defective,1167712.05,approved
45,1281,2024-10-05,1,Damaged,90474.93,approved
46,1291,2024-07-03,1,Defective,29458.14,approved
47,1301,2024-07-17,1,Other,102219.46,approved
48,1316,2024-12-15,1,Defective,170235.41,approved
49,1330,2024-12-20,1,Changed mind,173253.08,approved
50,1349,2025-01-03,1,Defective,588112.9,approved
51,1373,2024-12-12,2,Changed mind,210302.14,approved
52,1404,2024-12-21,1,Defective,581958.09,approved
53,1439,2024-09-14,1,Defective,299498.5,approved
54,1478,2024-10-08,1,Changed mind,29372.37,approved
55,1543,2024-11-09,1,Wrong product,29259.98,approved
56,1565,2024-03-14,1,Wrong product,99142.04,approved
57,1566,2024-03-13,1,Changed mind,558889.21,approved
58,1576,2024-10-12,1,Defective,379351.06,approved
59,1577,2024-10-21,1,Damaged,1319924.41,approved
