shipment_id,order_id,shipment_date,delivery_date,shipping_method,shipping_cost,status
1,1,2024-10-22,2024-10-28,standard,11382.71,delivered
2,2,2024-11-28,2024-12-06,standard,5477.16,delivered
3,3,2024-09-16,2024-09-23,standard,5917.99,delivered
4,4,2024-12-12,2024-12-16,express,10257.42,delivered
5,5,2024-12-31,2025-01-07,standard,5423.98,delivered
6,6,2024-08-09,2024-08-12,express,10229.57,delivered
7,7,2024-12-29,2025-01-03,standard,5271.33,delivered
8,8,2024-10-23,2024-10-26,express,10805.7,delivered
9,9,2024-11-20,2024-11-24,standard,6192.88,delivered
10,10,2024-09-23,2024-09-28,standard,7739.61,delivered
11,11,2024-12-05,2024-12-09,standard,8365.54,delivered
12,12,2024-11-06,2024-11-09,standard,3673.13,delivered
13,13,2024-11-10,2024-11-16,standard,5391.86,delivered
14,14,2024-09-20,2024-09-22,standard,10685.2,delivered
15,15,2024-11-21,2024-11-29,standard,10805.44,delivered
16,16,2024-11-11,2024-11-17,standard,5829.59,delivered
17,17,2024-12-15,2024-12-17,standard,8200.5,delivered
18,18,2024-10-20,2024-10-24,standard,2910.79,delivered
19,19,2024-10-29,2024-10-31,express,19477.56,delivered
20,20,2024-10-14,2024-10-20,standard,12523.75,delivered
21,21,2024-06-19,2024-06-22,standard,2759.01,delivered
22,22,2024-10-27,2024-10-30,express,11756.01,delivered
23,23,2024-06-23,2024-06-30,standard,5841.07,delivered
24,24,2024-08-24,2024-08-26,express,6488.09,delivered
25,25,2024-10-14,2024-10-21,standard,13128.0,delivered
26,26,2024-07-19,2024-07-24,standard,2875.75,delivered
27,27,2024-10-07,2024-10-11,standard,3000.39,delivered
28,29,2024-06-09,2024-06-17,standard,11492.1,delivered
29,30,2024-12-07,2024-12-11,express,7714.27,delivered
30,31,2024-10-23,2024-10-24,express,11819.27,delivered
31,32,2024-10-25,2024-10-30,standard,5737.97,delivered
32,33,2024-07-03,2024-07-05,standard,11957.49,delivered
33,34,2024-10-02,2024-10-10,standard,5454.46,delivered
34,35,2024-09-29,2024-10-03,express,19301.99,delivered
35,36,2024-12-31,2025-01-05,standard,10836.56,delivered
36,37,2024-12-05,2024-12-08,express,18041.45,delivered
37,38,2024-07-11,2024-07-17,standard,14109.27,delivered
38,39,2024-09-12,2024-09-14,standard,4382.09,delivered
